RB - Campaign performance
1 June 2026 - 25 June 2026
Campaign type,Campaign,Day,Currency code,Cost,Clicks,Impr.,CTR,Avg. CPC,Conversions,Conv. rate,Conv. value,Cost / conv.
Search,RB_Brand_Search_020925,2026-06-01,AUD,27.69,12,50,24.00%,2.31,0.00,0.00%,0.00,0
Search,RB_Non-Brand_Search_020925,2026-06-01,AUD,23.84,7,109,6.42%,3.41,0.00,0.00%,0.00,0
Performance Max,RB_Pmax_Feed_Only_Victoria_NSW_ACT_120925,2026-06-01,AUD,22.13,14,627,2.23%,1.58,0.00,0.00%,0.00,0
Performance Max,RB_Pmax_With_Feed_250925,2026-06-01,AUD,44.89,50,"3,063",1.63%,0.90,0.00,0.00%,0.00,0
Shopping,RB_Std_Shp_Victoria_NSW_ACT_011025,2026-06-01,AUD,122.48,142,"8,623",1.65%,0.86,2.96,2.09%,"2,416.39",41.33
Shopping,RB_Std_Shp_OtherLocation_100126,2026-06-01,AUD,122.31,79,"7,877",1.00%,1.55,1.00,1.27%,899.00,122.31
Performance Max,RB_Pmax_Feed_Only_Other Locations_290126,2026-06-01,AUD,24.68,20,"1,910",1.05%,1.23,0.00,0.00%,0.00,0
Demand Gen,RB_DemGen_110226,2026-06-01,AUD,22.22,6,"1,232",0.49%,3.70,0.00,0.00%,0.00,0
Performance Max,RB_Pmax_Bundles & Bassinet_20/05/26,2026-06-01,AUD,20.48,18,163,11.04%,1.14,0.00,0.00%,0.00,0
Search,RB_Brand_Search_020925,2026-06-02,AUD,25.85,11,58,18.97%,2.35,1.00,9.09%,868.00,25.85
Search,RB_Non-Brand_Search_020925,2026-06-02,AUD,3.53,3,95,3.16%,1.18,0.00,0.00%,0.00,0
Performance Max,RB_Pmax_Feed_Only_Victoria_NSW_ACT_120925,2026-06-02,AUD,13.03,21,680,3.09%,0.62,0.00,0.00%,0.00,0
Performance Max,RB_Pmax_With_Feed_250925,2026-06-02,AUD,36.68,44,"3,514",1.25%,0.83,0.00,0.00%,0.00,0
Shopping,RB_Std_Shp_Victoria_NSW_ACT_011025,2026-06-02,AUD,123.98,101,"7,914",1.28%,1.23,2.00,1.98%,160.95,61.99
Shopping,RB_Std_Shp_OtherLocation_100126,2026-06-02,AUD,125.36,71,"7,065",1.00%,1.77,0.00,0.00%,0.00,0
Performance Max,RB_Pmax_Feed_Only_Other Locations_290126,2026-06-02,AUD,41.06,27,"1,741",1.55%,1.52,1.00,3.45%,699.00,41.06
Demand Gen,RB_DemGen_110226,2026-06-02,AUD,22.08,4,980,0.41%,5.52,0.00,0.00%,0.00,0
Performance Max,RB_Pmax_Bundles & Bassinet_20/05/26,2026-06-02,AUD,16.73,15,116,12.93%,1.12,0.00,0.00%,0.00,0
Search,RB_Brand_Search_020925,2026-06-03,AUD,26.95,24,99,24.24%,1.12,2.00,8.33%,578.00,13.48
Search,RB_Non-Brand_Search_020925,2026-06-03,AUD,35.04,8,125,6.40%,4.38,0.00,0.00%,0.00,0
Performance Max,RB_Pmax_Feed_Only_Victoria_NSW_ACT_120925,2026-06-03,AUD,25.45,11,278,3.96%,2.31,0.00,0.00%,0.00,0
Performance Max,RB_Pmax_With_Feed_250925,2026-06-03,AUD,58.34,51,"4,705",1.08%,1.14,0.00,0.00%,0.00,0
Shopping,RB_Std_Shp_Victoria_NSW_ACT_011025,2026-06-03,AUD,123.55,79,"4,689",1.68%,1.56,1.05,1.33%,"1,027.81",117.39
Shopping,RB_Std_Shp_OtherLocation_100126,2026-06-03,AUD,140.22,71,"5,901",1.20%,1.97,1.00,1.41%,"1,999.00",140.22
Performance Max,RB_Pmax_Feed_Only_Other Locations_290126,2026-06-03,AUD,27.13,28,"2,197",1.27%,0.97,0.00,0.00%,0.00,0
Demand Gen,RB_DemGen_110226,2026-06-03,AUD,21.91,2,753,0.27%,10.95,0.00,0.00%,0.00,0
Performance Max,RB_Pmax_Bundles & Bassinet_20/05/26,2026-06-03,AUD,8.65,6,48,12.50%,1.44,0.00,0.00%,0.00,0
Search,Hb4H_New Search Campaign,2026-06-03,AUD,7.10,3,44,6.82%,2.37,0.00,0.00%,0.00,0
Performance Max,RB_PMax_EOFY Sale_030626,2026-06-03,AUD,1.65,5,25,20.00%,0.33,0.00,0.00%,0.00,0
Search,RB_Brand_Search_020925,2026-06-04,AUD,28.25,12,43,27.91%,2.35,0.00,0.00%,0.00,0
Search,RB_Non-Brand_Search_020925,2026-06-04,AUD,13.21,4,128,3.13%,3.30,0.00,0.00%,0.00,0
Performance Max,RB_Pmax_Feed_Only_Victoria_NSW_ACT_120925,2026-06-04,AUD,2.45,4,117,3.42%,0.61,0.00,0.00%,0.00,0
Performance Max,RB_Pmax_With_Feed_250925,2026-06-04,AUD,41.12,32,"2,760",1.16%,1.28,0.03,0.09%,22.52,1358.12
Shopping,RB_Std_Shp_Victoria_NSW_ACT_011025,2026-06-04,AUD,115.78,64,"5,562",1.15%,1.81,0.00,0.00%,0.00,0
Shopping,RB_Std_Shp_OtherLocation_100126,2026-06-04,AUD,116.23,71,"6,611",1.07%,1.64,0.00,0.00%,0.00,0
Performance Max,RB_Pmax_Feed_Only_Other Locations_290126,2026-06-04,AUD,23.22,12,327,3.67%,1.93,0.00,0.00%,0.00,0
Demand Gen,RB_DemGen_110226,2026-06-04,AUD,21.75,3,"1,153",0.26%,7.25,0.00,0.00%,0.00,0
Performance Max,RB_Pmax_Bundles & Bassinet_20/05/26,2026-06-04,AUD,25.37,14,174,8.05%,1.81,1.00,5.00%,379.99,25.37
Search,Hb4H_New Search Campaign,2026-06-04,AUD,46.62,6,97,6.19%,7.77,0.00,0.00%,0.00,0
Performance Max,RB_PMax_EOFY Sale_030626,2026-06-04,AUD,0.30,2,11,18.18%,0.15,0.00,0.00%,0.00,0
Search,RB_Brand_Search_020925,2026-06-05,AUD,30.14,9,44,20.45%,3.35,0.00,0.00%,0.00,0
Search,RB_Non-Brand_Search_020925,2026-06-05,AUD,21.44,4,102,3.92%,5.36,0.00,0.00%,0.00,0
Performance Max,RB_Pmax_Feed_Only_Victoria_NSW_ACT_120925,2026-06-05,AUD,34.36,40,"2,566",1.56%,0.86,1.00,1.10%,289.00,34.36
Performance Max,RB_Pmax_With_Feed_250925,2026-06-05,AUD,27.31,21,"1,223",1.72%,1.30,1.00,4.00%,409.97,27.31
Shopping,RB_Std_Shp_Victoria_NSW_ACT_011025,2026-06-05,AUD,134.10,103,"8,771",1.17%,1.30,0.69,0.67%,533.65,195.05
Shopping,RB_Std_Shp_OtherLocation_100126,2026-06-05,AUD,132.28,80,"9,699",0.82%,1.65,0.97,1.21%,872.02,136.37
Performance Max,RB_Pmax_Feed_Only_Other Locations_290126,2026-06-05,AUD,27.31,19,"1,689",1.12%,1.44,0.97,5.11%,969.01,28.16
Demand Gen,RB_DemGen_110226,2026-06-05,AUD,21.52,2,"1,008",0.20%,10.76,0.00,0.00%,0.00,0
Performance Max,RB_Pmax_Bundles & Bassinet_20/05/26,2026-06-05,AUD,13.05,9,102,8.82%,1.45,0.00,0.00%,0.00,0
Search,Hb4H_New Search Campaign,2026-06-05,AUD,25.77,6,149,4.03%,4.29,0.00,0.00%,0.00,0
Performance Max,RB_PMax_EOFY Sale_030626,2026-06-05,AUD,1.36,3,47,6.38%,0.45,0.00,0.00%,0.00,0
Search,RB_Brand_Search_020925,2026-06-06,AUD,23.55,24,79,30.38%,0.98,1.00,4.17%,846.96,23.55
Search,RB_Non-Brand_Search_020925,2026-06-06,AUD,31.82,4,54,7.41%,7.96,0.00,0.00%,0.00,0
Performance Max,RB_Pmax_Feed_Only_Victoria_NSW_ACT_120925,2026-06-06,AUD,29.43,15,"1,379",1.09%,1.96,0.00,0.00%,0.00,0
Performance Max,RB_Pmax_With_Feed_250925,2026-06-06,AUD,73.65,65,"6,247",1.04%,1.13,1.00,1.47%,902.95,73.65
Shopping,RB_Std_Shp_Victoria_NSW_ACT_011025,2026-06-06,AUD,141.49,97,"7,560",1.28%,1.46,0.34,0.35%,274.24,412.23
Shopping,RB_Std_Shp_OtherLocation_100126,2026-06-06,AUD,130.86,59,"6,513",0.91%,2.22,2.50,4.24%,"2,522.50",52.34
Performance Max,RB_Pmax_Feed_Only_Other Locations_290126,2026-06-06,AUD,48.26,34,"3,255",1.04%,1.42,0.00,0.00%,0.00,0
Demand Gen,RB_DemGen_110226,2026-06-06,AUD,21.87,1,862,0.12%,21.87,0.00,0.00%,0.00,0
Performance Max,RB_Pmax_Bundles & Bassinet_20/05/26,2026-06-06,AUD,37.81,16,205,7.80%,2.36,0.00,0.00%,0.00,0
Search,Hb4H_New Search Campaign,2026-06-06,AUD,28.96,5,156,3.21%,5.79,0.00,0.00%,0.00,0
Performance Max,RB_PMax_EOFY Sale_030626,2026-06-06,AUD,18.75,7,70,10.00%,2.68,0.00,0.00%,0.00,0
Search,RB_Brand_Search_020925,2026-06-07,AUD,24.18,17,58,29.31%,1.42,0.00,0.00%,0.00,0
Search,RB_Non-Brand_Search_020925,2026-06-07,AUD,23.04,4,32,12.50%,5.76,0.00,0.00%,0.00,0
Performance Max,RB_Pmax_Feed_Only_Victoria_NSW_ACT_120925,2026-06-07,AUD,17.73,22,"1,413",1.56%,0.81,0.00,0.00%,0.00,0
Performance Max,RB_Pmax_With_Feed_250925,2026-06-07,AUD,47.65,55,"3,261",1.69%,0.87,0.00,0.00%,0.00,0
Shopping,RB_Std_Shp_Victoria_NSW_ACT_011025,2026-06-07,AUD,149.36,123,"8,910",1.38%,1.21,2.94,2.39%,"1,979.21",50.81
Shopping,RB_Std_Shp_OtherLocation_100126,2026-06-07,AUD,151.68,91,"8,698",1.05%,1.67,3.00,3.30%,"1,293.99",50.56
Performance Max,RB_Pmax_Feed_Only_Other Locations_290126,2026-06-07,AUD,30.64,28,"2,113",1.33%,1.09,0.00,0.00%,0.00,0
Demand Gen,RB_DemGen_110226,2026-06-07,AUD,21.36,3,966,0.31%,7.12,0.00,0.00%,0.00,0
Performance Max,RB_Pmax_Bundles & Bassinet_20/05/26,2026-06-07,AUD,14.51,15,132,11.36%,0.97,0.00,0.00%,0.00,0
Search,Hb4H_New Search Campaign,2026-06-07,AUD,27.10,5,57,8.77%,5.42,0.00,0.00%,0.00,0
Performance Max,RB_PMax_EOFY Sale_030626,2026-06-07,AUD,20.00,15,146,10.27%,1.33,0.00,0.00%,0.00,0
Search,RB_Brand_Search_020925,2026-06-08,AUD,36.10,25,116,21.55%,1.44,0.00,0.00%,0.00,0
Search,RB_Non-Brand_Search_020925,2026-06-08,AUD,18.65,6,90,6.67%,3.11,0.00,0.00%,0.00,0
